EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES850736	ESR13868
ES850755	ESR13868
ES850759	ESR13868
ES850772	ESR13868
ES850778	ESR13868
ES850789	ESR13868
ES850794	ESR13868
ES850796	ESR13868
ES850809	ESR13868
ES850812	ESR13868
ES850817	ESR13868
ES850820	ESR13868
ES850823	ESR13868
ES850829	ESR13868
ES850835	ESR13868
ES850836	ESR13868
ES850848	ESR13868
ES850852	ESR13868
ES850871	ESR13868
ES850885	ESR13868
ES850886	ESR13868
ES850887	ESR13868
ES850911	ESR13868
ES850930	ESR13868
ES850946	ESR13868
ES850950	ESR13868
ES850951	ESR13868
ES850958	ESR13868
ES850970	ESR13868
ES850974	ESR13868
ES850995	ESR13868
ES851014	ESR13868
ES851021	ESR13868
ES851029	ESR13868
ES851044	ESR13868
ES851045	ESR13868
ES851046	ESR13868
ES851052	ESR13868
ES851061	ESR13868
ES851072	ESR13868
ES851090	ESR13868
ES851101	ESR13868
ES851110	ESR13868
ES851117	ESR13868
ES851119	ESR13868
ES851120	ESR13868
ES851125	ESR13868
ES851126	ESR13868
ES851133	ESR13868
ES851143	ESR13868
ES851144	ESR13868
ES851154	ESR13868
ES851159	ESR13867
ES851164	ESR13867
ES851174	ESR13867
ES851183	ESR13867
ES851189	ESR13867
ES851191	ESR13867
ES851200	ESR13867
ES851204	ESR13867
ES851208	ESR13867
ES851236	ESR13867
ES851254	ESR13867
ES851277	ESR13867
ES851285	ESR13867
ES851287	ESR13867
ES851298	ESR13867
ES851301	ESR13867
ES851304	ESR13867
ES851310	ESR13867
ES851311	ESR13867
ES851314	ESR13867
ES851318	ESR13867
ES851323	ESR13867
ES851327	ESR13867
ES833821	ESR9396
ES833826	ESR9397
ES833831	ESR9396
ES833836	ESR9397
ES833836	ESR9395
ES833837	ESR9397
ES833840	ESR9394
ES833843	ESR9396
ES833844	ESR9395
ES833850	ESR9394
ES833858	ESR9397
ES833862	ESR9396
ES833864	ESR9397
ES833867	ESR9397
ES833869	ESR9395
ES833874	ESR9395
ES833874	ESR9394
ES833875	ESR9397
ES833875	ESR9394
ES833876	ESR9396
ES833877	ESR9395
ES833881	ESR9395
ES833883	ESR9396
ES833886	ESR9395
ES833887	ESR9397
ES848000	ESR10156
ES848001	ESR10159
ES848001	ESR10158
ES848002	ESR10162
ES848002	ESR10158
ES848002	ESR10157
ES848002	ESR10156
ES848002	ESR10155
ES848003	ESR10161
ES848004	ESR10163
ES848005	ESR10158
ES848007	ESR10158
ES848007	ESR10156
ES848008	ESR10160
ES848008	ESR10156
ES848010	ESR10161
ES848010	ESR10155
ES848011	ESR10163
